time	rmse	false positive	false negative
4.988	0.013261	0	0
5.005	0.013261	0	0
5.021	0.013261	0	0
5.038	0.013268	0	0
5.055	0.013326	0	0
5.071	0.013436	0	0
5.088	0.013207	0	0
5.105	0.013897	0	0
5.121	0.013875	0	0
5.138	0.013697	0	0
5.155	0.013768	0	0
5.171	0.013995	0	0
5.188	0.013563	0	0
5.205	0.014245	0	0
5.221	0.014536	0	0
5.238	0.014555	0	0
5.255	0.014178	0	0
5.271	0.013632	0	0
5.288	0.013610	0	0
5.305	0.013010	0	0
5.321	0.012285	0	0
5.338	0.011837	0	0
5.355	0.012497	0	0
5.372	0.011636	0	0
5.388	0.011272	0	0
5.405	0.011850	0	0
5.422	0.012896	0	0
5.438	0.012125	0	0
5.455	0.012496	0	0
5.472	0.012569	0	0
5.488	0.012326	0	0
5.505	0.012325	0	0
5.522	0.012734	0	0
5.538	0.012615	0	0
5.555	0.013513	0	0
5.572	0.013053	0	0
5.588	0.012845	0	0
5.605	0.013434	0	0
5.622	0.013898	0	0
5.638	0.013654	0	0
5.655	0.014398	0	0
5.672	0.014051	0	0
5.689	0.013311	0	0
5.705	0.013302	0	0
5.722	0.012802	0	0
5.739	0.013176	0	0
5.755	0.013453	0	0
5.772	0.013661	0	0
5.789	0.013052	0	0
5.805	0.013083	0	0
5.822	0.012125	0	0
5.839	0.012210	0	0
5.855	0.012717	0	0
5.872	0.013098	0	0
5.889	0.012894	0	0
5.905	0.013295	0	0
5.922	0.013352	0	0
5.939	0.012783	0	0
5.955	0.012516	0	0
5.972	0.013495	0	0
5.989	0.013907	0	0
6.006	0.014763	0	0
6.022	0.015375	0	0
6.039	0.016187	0	0
6.056	0.015469	0	0
6.072	0.015693	0	0
6.089	0.015615	0	0
6.106	0.015474	0	0
6.122	0.015116	0	0
6.139	0.015480	0	0
6.156	0.015813	0	0
6.172	0.014812	0	0
6.189	0.014589	0	0
6.206	0.014409	0	0
6.222	0.014474	0	0
6.239	0.013767	0	0
6.256	0.014541	0	0
6.272	0.014756	0	0
6.289	0.015032	0	0
6.306	0.014896	0	0
6.322	0.015457	0	0
6.339	0.014611	0	0
6.356	0.015738	0	0
6.373	0.016409	0	0
6.389	0.016861	0	0
6.406	0.017336	0	0
6.423	0.018629	0	0
6.439	0.018115	0	0
6.456	0.018103	0	0
6.473	0.018891	0	0
6.489	0.018724	0	0
6.506	0.017745	0	0
6.523	0.017422	0	0
6.539	0.016464	0	0
6.556	0.015133	0	0
6.573	0.013780	0	0
6.589	0.013876	0	0
6.606	0.013205	0	0
6.623	0.012915	0	0
6.639	0.013416	0	0
6.656	0.014223	0	0
6.673	0.014319	0	0
6.690	0.014431	0	0
6.706	0.014706	0	0
6.723	0.014690	0	0
6.740	0.014078	0	0
6.756	0.013145	0	0
6.773	0.012961	0	0
6.790	0.013138	0	0
6.806	0.012836	0	0
6.823	0.012721	0	0
6.840	0.013193	0	0
6.856	0.012754	0	0
6.873	0.012712	0	0
6.890	0.012194	0	0
6.906	0.012563	0	0
6.923	0.011929	0	0
6.940	0.012418	0	0
6.956	0.012155	0	0
6.973	0.012393	0	0
6.990	0.012689	0	0
7.007	0.014026	0	0
7.023	0.014523	0	0
7.040	0.015037	0	0
7.057	0.014693	0	0
7.073	0.013918	0	0
7.090	0.013008	0	0
7.107	0.012280	0	0
7.123	0.011665	0	0
7.140	0.012331	0	0
7.157	0.012169	0	0
7.173	0.012446	0	0
7.190	0.012050	0	0
7.207	0.011918	0	0
7.223	0.012001	0	0
7.240	0.012303	0	0
7.257	0.012682	0	0
7.273	0.012706	0	0
7.290	0.012673	0	0
7.307	0.011980	0	0
7.323	0.012085	0	0
7.340	0.011430	0	0
7.357	0.011613	0	0
7.374	0.011525	0	0
7.390	0.011370	0	0
7.407	0.011295	0	0
7.424	0.012029	0	0
7.440	0.011888	0	0
7.457	0.011911	0	0
7.474	0.012418	0	0
7.490	0.012474	0	0
7.507	0.011381	0	0
7.524	0.011675	0	0
7.540	0.011467	0	0
7.557	0.011540	0	0
7.574	0.011202	0	0
7.590	0.011491	0	0
7.607	0.010949	0	0
7.624	0.011704	0	0
7.640	0.011420	0	0
7.657	0.011729	0	0
7.674	0.011746	0	0
7.691	0.012332	0	0
7.707	0.011847	0	0
7.724	0.012340	0	0
7.741	0.012705	0	0
7.757	0.013383	0	0
7.774	0.013403	0	0
7.791	0.014035	0	0
7.807	0.013852	0	0
7.824	0.013330	0	0
7.841	0.012954	0	0
7.857	0.013337	0	0
7.874	0.013145	0	0
7.891	0.012969	0	0
7.907	0.013409	0	0
7.924	0.013524	0	0
7.941	0.013363	0	0
7.957	0.013177	0	0
7.974	0.013073	0	0
7.991	0.013011	0	0
8.008	0.012848	0	0
8.024	0.012802	0	0
8.041	0.013003	0	0
8.058	0.013048	0	0
8.074	0.012638	0	0
8.091	0.012440	0	0
8.108	0.012179	0	0
8.124	0.011941	0	0
8.141	0.011888	0	0
8.158	0.012146	0	0
8.174	0.012219	0	0
8.191	0.012578	0	0
8.208	0.012867	0	0
8.224	0.012632	0	0
8.241	0.012763	0	0
