time lined up	block	rmse	false positive	false negative
8.997	dont	0.0114025	0	0
9.014	dont	0.0125982	0	0
9.030	dont	0.0133624	0	0
9.047	dont	0.0127658	0	0
9.064	dont	0.0124140	0	0
9.080	dont	0.0133624	0	0
9.097	dont	0.0148921	0	0
9.114	dont	0.0144943	0	0
9.130	dont	0.0139842	0	0
9.147	dont	0.0120079	0	0
9.164	dont	0.0141229	0	0
9.180	dont	0.0114490	0	0
9.197	dont	0.0135336	0	0
9.214	dont	0.0129449	0	0
9.230	dont	0.0140348	0	0
9.247	dont	0.0131620	0	0
9.264	dont	0.0138057	0	0
9.280	dont	0.0116180	0	0
9.297	dont	0.0142602	0	0
9.314	dont	0.0130810	0	0
9.330	dont	0.0123425	0	0
9.347	dont	0.0139842	0	0
9.364	dont	0.0129723	0	0
9.381	dont	0.0142602	0	0
9.397	dont	0.0149633	0	0
9.414	dont	0.0101535	0	0
9.431	dont	0.0135859	0	0
9.447	dont	0.0113558	0	0
9.464	dont	0.0141979	0	0
9.481	dont	0.0116940	0	0
9.497	dont	0.0130675	0	0
9.514	dont	0.0109103	0	0
9.531	dont	0.0119339	0	0
9.547	dont	0.0130132	0	0
9.564	dont	0.0124994	0	0
9.581	dont	0.0116788	0	0
9.597	dont	0.0111829	0	0
9.614	dont	0.0128488	0	0
9.631	dont	0.0143098	0	0
9.647	dont	0.0100835	0	0
9.664	dont	0.0111194	0	0
9.681	dont	0.0111353	0	0
9.698	dont	0.0104119	0	0
9.714	dont	0.0122994	0	0
9.731	dont	0.0110234	0	0
9.748	dont	0.0101535	0	0
9.764	dont	0.0123138	0	0
9.781	dont	0.0118445	0	0
9.798	dont	0.0133624	0	0
9.814	dont	0.0091824	0	0
9.831	dont	0.0100129	0	0
9.848	dont	0.0130946	0	0
9.864	dont	0.0140852	0	0
9.881	dont	0.0263711	0	0
9.898	dont	0.0240157	0	0
9.914	dont	0.0193877	0	1
9.931	dont	0.0230753	0	0
9.948	dont	0.0276179	0	0
9.964	dont	0.0271326	0	0
9.981	dont	0.0282520	0	0
9.998	dont	0.0277714	1	0
10.015	dont	0.0222388	1	0
10.031	dont	0.0176065	0	0
10.048	dont	0.0174752	0	0
10.065	dont	0.0153143	0	0
10.081	dont	0.0144820	0	0
10.098	dont	0.0155667	0	0
10.115	dont	0.0155325	0	0
10.131	dont	0.0147607	0	0
10.148	dont	0.0130268	0	0
10.165	dont	0.0134549	0	0
10.181	dont	0.0128350	0	0
10.198	dont	0.0111671	0	0
10.215	dont	0.0104797	0	0
10.231	dont	0.0118295	0	0
10.248	dont	0.0131755	0	0
10.265	dont	0.0132292	0	0
10.281	dont	0.0122561	0	0
10.298	dont	0.0119190	0	0
10.315	dont	0.0114954	0	0
10.331	dont	0.0111671	0	0
10.348	dont	0.0116484	0	0
10.365	dont	0.0120520	0	0
10.382	dont	0.0112776	0	0
10.398	dont	0.0092017	0	0
10.415	dont	0.0129723	0	0
10.432	dont	0.0124710	0	0
10.448	dont	0.0114490	0	0
10.465	dont	0.0121107	0	0
10.482	dont	0.0111035	0	0
10.498	dont	0.0117544	0	0
10.515	dont	0.0099419	0	0
10.532	dont	0.0105974	0	0
10.548	dont	0.0132023	0	0
10.565	dont	0.0089083	0	0
10.582	dont	0.0111194	0	0
10.598	dont	0.0114800	0	0
10.615	dont	0.0088083	0	0
10.632	dont	0.0137543	0	0
10.648	dont	0.0107468	0	0
10.665	dont	0.0096710	0	0
10.682	dont	0.0135989	0	0
10.699	dont	0.0122271	0	0
10.715	dont	0.0121691	0	0
