time 	block	discomfort	scaled discomfort
0.000	Don't blink	0.00000	0.00000
0.266	Don't blink	0.00000	0.00000
0.532	Don't blink	0.00000	0.00000
0.797	Don't blink	0.00000	0.00000
1.063	Don't blink	0.00000	0.00000
1.328	Don't blink	0.00000	0.00000
1.594	Don't blink	0.00000	0.00000
1.860	Don't blink	0.00000	0.00000
2.125	Don't blink	0.00000	0.00000
2.391	Don't blink	0.00000	0.00000
2.657	Don't blink	0.00000	0.00000
2.922	Don't blink	0.00000	0.00000
3.188	Don't blink	1.01179	1.12421
3.453	Don't blink	1.93517	2.15019
3.719	Don't blink	1.93517	2.15019
3.985	Don't blink	1.93517	2.15019
4.250	Don't blink	1.93517	2.15019
4.516	Don't blink	1.93517	2.15019
4.782	Don't blink	1.93517	2.15019
5.047	Don't blink	1.67976	1.86640
5.313	Don't blink	9.00000	10.00000
5.578	Don't blink	8.18271	9.09190
5.844	Don't blink	6.82711	7.58568
6.110	Don't blink	5.81532	6.46147
6.375	Don't blink	5.81532	6.46147
6.641	Don't blink	5.81532	6.46147
6.907	Don't blink	5.81532	6.46147
7.172	Don't blink	5.81532	6.46147
7.438	Don't blink	5.81532	6.46147
7.703	Don't blink	6.22790	6.91989
7.969	Don't blink	7.08251	7.86946
8.235	Don't blink	8.06483	8.96093
8.500	Don't blink	8.07466	8.97184
8.766	Don't blink	8.07466	8.97184
9.032	Don't blink	8.07466	8.97184
9.297	Don't blink	8.07466	8.97184
9.563	Don't blink	8.07466	8.97184
9.828	Don't blink	8.05501	8.95001
10.094	Don't blink	5.55010	6.16678
10.360	Don't blink	5.06876	5.63196
10.625	Don't blink	2.89784	3.21982
10.891	Don't blink	2.96660	3.29622
11.157	Don't blink	2.97642	3.30714
11.422	Don't blink	2.97642	3.30714
11.688	Don't blink	2.97642	3.30714
11.953	Don't blink	2.97642	3.30714
12.219	Don't blink	2.97642	3.30714
12.485	Don't blink	2.97642	3.30714
12.750	Don't blink	2.97642	3.30714
13.016	Don't blink	2.97642	3.30714
13.282	Don't blink	2.97642	3.30714
13.547	Don't blink	2.97642	3.30714
13.813	Don't blink	2.97642	3.30714
14.078	Don't blink	2.97642	3.30714
14.344	Don't blink	2.97642	3.30714
14.610	Don't blink	2.97642	3.30714
14.875	Don't blink	3.01572	3.35080
15.141	Don't blink	3.01572	3.35080
15.407	Don't blink	3.01572	3.35080
15.672	Don't blink	3.01572	3.35080
15.938	Don't blink	3.01572	3.35080
16.203	Don't blink	3.01572	3.35080
16.469	Don't blink	3.27112	3.63458
16.735	Don't blink	3.52652	3.91836
17.000	Don't blink	5.30452	5.89391
