time	block	discomfort	scaled discomfort
0.000	Don't blink	2.2593320	3.6918138
0.266	Don't blink	2.2593320	3.6918138
0.531	Don't blink	2.2593320	3.6918138
0.797	Don't blink	2.2593320	3.6918138
1.063	Don't blink	2.2593320	3.6918138
1.328	Don't blink	2.2593320	3.6918138
1.594	Don't blink	2.2593320	3.6918138
1.860	Don't blink	2.2593320	3.6918138
2.125	Don't blink	2.2593320	3.6918138
2.391	Don't blink	2.2593320	3.6918138
2.656	Don't blink	2.2593320	3.6918138
2.922	Don't blink	2.2691552	3.7078652
3.188	Don't blink	2.2691552	3.7078652
3.453	Don't blink	2.6620825	4.3499197
3.719	Don't blink	2.8683694	4.6869984
3.985	Don't blink	2.8978389	4.7351525
4.250	Don't blink	2.8978389	4.7351525
4.516	Don't blink	2.9076621	4.7512039
4.781	Don't blink	2.9076621	4.7512039
5.047	Don't blink	2.9076621	4.7512039
5.313	Don't blink	2.9076621	4.7512039
5.578	Don't blink	2.9076621	4.7512039
5.844	Don't blink	2.9076621	4.7512039
6.110	Don't blink	2.9076621	4.7512039
6.375	Don't blink	2.9076621	4.7512039
6.641	Don't blink	2.9076621	4.7512039
6.906	Don't blink	2.8880157	4.7191011
7.172	Don't blink	2.8880157	4.7191011
7.438	Don't blink	2.8880157	4.7191011
7.703	Don't blink	2.9076621	4.7512039
7.969	Don't blink	2.9469548	4.8154093
8.235	Don't blink	2.9960707	4.8956661
8.500	Don't blink	2.8880157	4.7191011
8.766	Don't blink	2.8880157	4.7191011
9.031	Don't blink	2.8880157	4.7191011
9.297	Don't blink	2.9174853	4.7672552
9.563	Don't blink	2.9174853	4.7672552
9.828	Don't blink	2.9174853	4.7672552
10.094	Don't blink	2.9174853	4.7672552
10.360	Don't blink	2.8781925	4.7030498
10.625	Don't blink	2.8388998	4.6388443
10.891	Don't blink	2.8388998	4.6388443
11.156	Don't blink	2.8487230	4.6548957
11.422	Don't blink	2.8487230	4.6548957
11.688	Don't blink	2.8683694	4.6869984
11.953	Don't blink	2.8880157	4.7191011
12.219	Don't blink	2.8880157	4.7191011
12.485	Don't blink	2.9076621	4.7512039
12.750	Don't blink	2.9076621	4.7512039
13.016	Don't blink	2.9174853	4.7672552
13.281	Don't blink	2.9174853	4.7672552
13.547	Don't blink	3.8998035	6.3723917
13.813	Don't blink	3.9390963	6.4365971
14.078	Don't blink	3.9390963	6.4365971
14.344	Don't blink	3.9390963	6.4365971
14.610	Don't blink	3.9390963	6.4365971
14.875	Don't blink	3.9390963	6.4365971
15.141	Don't blink	3.9390963	6.4365971
15.406	Don't blink	3.8801572	6.3402889
15.672	Don't blink	3.9783890	6.5008026
15.938	Don't blink	4.2730845	6.9823435
16.203	Don't blink	4.3123772	7.0465490
16.469	Don't blink	4.3123772	7.0465490
16.735	Don't blink	4.3123772	7.0465490
17.000	Don't blink	4.3123772	7.0465490
17.266	Don't blink	4.3123772	7.0465490
17.531	Don't blink	4.3123772	7.0465490
17.797	Don't blink	4.3123772	7.0465490
18.063	Don't blink	4.3123772	7.0465490
18.328	Don't blink	4.3123772	7.0465490
18.594	Don't blink	4.3123772	7.0465490
18.860	Don't blink	4.3123772	7.0465490
19.125	Don't blink	4.3123772	7.0465490
19.391	Don't blink	4.3123772	7.0465490
19.656	Don't blink	4.3123772	7.0465490
19.922	Don't blink	4.3123772	7.0465490
20.188	Don't blink	4.3123772	7.0465490
20.453	Don't blink	4.3123772	7.0465490
20.719	Don't blink	4.3123772	7.0465490
20.985	Don't blink	4.3123772	7.0465490
21.250	Don't blink	4.3123772	7.0465490
21.516	Don't blink	4.3123772	7.0465490
21.781	Don't blink	4.3123772	7.0465490
22.047	Don't blink	4.3123772	7.0465490
22.313	Don't blink	4.3123772	7.0465490
22.578	Don't blink	4.3123772	7.0465490
22.844	Don't blink	4.3123772	7.0465490
23.110	Don't blink	4.3123772	7.0465490
23.375	Don't blink	4.3123772	7.0465490
23.641	Don't blink	4.3123772	7.0465490
23.906	Don't blink	4.3123772	7.0465490
24.172	Don't blink	4.3123772	7.0465490
24.422	Don't blink	4.3123772	7.0465490
24.688	Don't blink	4.3123772	7.0465490
24.953	Don't blink	4.3123772	7.0465490
25.219	Don't blink	4.3123772	7.0465490
25.485	Don't blink	4.3123772	7.0465490
25.750	Don't blink	4.3123772	7.0465490
26.016	Don't blink	4.3123772	7.0465490
26.281	Don't blink	4.3123772	7.0465490
26.547	Don't blink	4.3123772	7.0465490
26.813	Don't blink	4.3123772	7.0465490
27.078	Don't blink	4.3123772	7.0465490
27.344	Don't blink	4.3123772	7.0465490
27.610	Don't blink	4.3123772	7.0465490
27.875	Don't blink	4.3123772	7.0465490
28.141	Don't blink	4.3123772	7.0465490
28.406	Don't blink	4.3123772	7.0465490
28.672	Don't blink	4.3123772	7.0465490
28.938	Don't blink	4.3123772	7.0465490
29.203	Don't blink	4.3123772	7.0465490
29.469	Don't blink	4.3123772	7.0465490
29.735	Don't blink	4.3025540	7.0304976
29.985	Don't blink	4.3025540	7.0304976
30.250	Don't blink	4.3123772	7.0465490
30.516	Don't blink	4.3123772	7.0465490
30.781	Don't blink	4.3222004	7.0626003
31.047	Don't blink	4.3418468	7.0947031
31.313	Don't blink	4.3418468	7.0947031
31.578	Don't blink	4.3418468	7.0947031
31.844	Don't blink	4.3418468	7.0947031
32.110	Don't blink	4.4400786	7.2552167
32.375	Don't blink	4.4793713	7.3194222
32.641	Don't blink	4.4793713	7.3194222
32.906	Don't blink	4.4891945	7.3354735
33.172	Don't blink	4.5383104	7.4157303
33.438	Don't blink	4.6070727	7.5280899
33.703	Don't blink	4.8035363	7.8491172
33.969	Don't blink	4.8722986	7.9614767
34.235	Don't blink	4.9410609	8.0738363
34.500	Don't blink	5.0098232	8.1861958
34.766	Don't blink	5.1669941	8.4430177
35.031	Don't blink	5.1669941	8.4430177
35.297	Don't blink	5.1669941	8.4430177
35.563	Don't blink	5.1669941	8.4430177
35.828	Don't blink	5.1669941	8.4430177
36.094	Don't blink	5.1669941	8.4430177
36.360	Don't blink	5.1669941	8.4430177
36.625	Don't blink	5.1669941	8.4430177
36.891	Don't blink	5.1669941	8.4430177
37.156	Don't blink	5.1669941	8.4430177
37.422	Don't blink	5.1669941	8.4430177
37.688	Don't blink	5.1669941	8.4430177
37.953	Don't blink	5.1669941	8.4430177
38.219	Don't blink	5.1669941	8.4430177
38.485	Don't blink	5.1669941	8.4430177
38.750	Don't blink	5.1669941	8.4430177
39.016	Don't blink	5.1669941	8.4430177
39.281	Don't blink	5.1669941	8.4430177
39.547	Don't blink	5.1669941	8.4430177
39.813	Don't blink	5.1669941	8.4430177
40.078	Don't blink	5.1669941	8.4430177
40.344	Don't blink	5.1669941	8.4430177
40.610	Don't blink	5.1669941	8.4430177
40.875	Don't blink	5.1669941	8.4430177
41.141	Don't blink	5.1669941	8.4430177
41.406	Don't blink	5.1669941	8.4430177
41.672	Don't blink	5.1669941	8.4430177
41.938	Don't blink	5.1669941	8.4430177
42.203	Don't blink	5.1669941	8.4430177
42.469	Don't blink	5.1571709	8.4269663
42.735	Don't blink	5.4911591	8.9727127
43.000	Don't blink	5.7170923	9.3418941
43.266	Don't blink	6.1198428	10.0000000
43.531	Don't blink	6.1198428	10.0000000
43.797	Don't blink	6.1198428	10.0000000
44.063	Don't blink	6.1198428	10.0000000
44.328	Don't blink	6.1198428	10.0000000
44.594	Don't blink	6.1198428	10.0000000
44.860	Don't blink	6.1198428	10.0000000
45.125	Don't blink	6.1198428	10.0000000
45.391	Don't blink	6.1198428	10.0000000
45.656	Don't blink	6.1198428	10.0000000
45.922	Don't blink	6.1198428	10.0000000
46.188	Don't blink	6.1198428	10.0000000
46.453	Don't blink	6.1198428	10.0000000
46.719	Don't blink	6.1198428	10.0000000
46.985	Don't blink	6.1198428	10.0000000
47.250	Don't blink	6.1198428	10.0000000
47.516	Don't blink	6.1198428	10.0000000
47.781	Don't blink	6.1198428	10.0000000
48.047	Don't blink	6.1198428	10.0000000
48.313	Don't blink	6.1198428	10.0000000
48.578	Don't blink	6.1198428	10.0000000
48.844	Don't blink	6.1198428	10.0000000
49.110	Don't blink	6.1198428	10.0000000
49.375	Don't blink	6.1198428	10.0000000
49.641	Don't blink	6.1198428	10.0000000
49.906	Don't blink	6.1198428	10.0000000
50.172	Don't blink	6.1198428	10.0000000
50.438	Don't blink	6.1198428	10.0000000
50.703	Don't blink	6.1198428	10.0000000
50.969	Don't blink	6.1198428	10.0000000
51.235	Don't blink	6.1198428	10.0000000
51.500	Don't blink	6.1198428	10.0000000
51.766	Don't blink	6.1198428	10.0000000
52.031	Don't blink	6.1198428	10.0000000
52.297	Don't blink	6.1198428	10.0000000
52.563	Don't blink	6.1198428	10.0000000
52.828	Don't blink	6.1198428	10.0000000
53.094	Don't blink	6.1198428	10.0000000
53.360	Don't blink	6.1198428	10.0000000
53.625	Don't blink	6.1198428	10.0000000
53.891	Don't blink	6.1198428	10.0000000
54.156	Don't blink	6.1198428	10.0000000
54.422	Don't blink	6.1198428	10.0000000
54.688	Don't blink	6.1198428	10.0000000
54.953	Don't blink	6.1198428	10.0000000
55.219	Don't blink	6.1198428	10.0000000
55.485	Don't blink	6.1198428	10.0000000
55.750	Don't blink	6.1198428	10.0000000
56.016	Don't blink	6.1198428	10.0000000
56.281	Don't blink	6.1198428	10.0000000
56.547	Don't blink	6.1198428	10.0000000
56.813	Don't blink	6.1198428	10.0000000
57.078	Don't blink	6.1198428	10.0000000
57.344	Don't blink	6.1198428	10.0000000
57.610	Don't blink	6.1198428	10.0000000
57.875	Don't blink	6.1198428	10.0000000
58.141	Don't blink	6.1198428	10.0000000
58.406	Don't blink	6.1198428	10.0000000
58.672	Don't blink	6.1198428	10.0000000
58.938	Don't blink	6.1198428	10.0000000
59.203	Don't blink	6.1198428	10.0000000
59.469	Don't blink	6.1198428	10.0000000
59.735	Don't blink	5.9430255	9.7110754
60.000	Don't blink	5.6581532	9.2455859
60.266	OK to blink	5.6581532	9.2455859
60.531	OK to blink	5.6581532	9.2455859
60.797	OK to blink	5.6581532	9.2455859
61.063	OK to blink	5.6581532	9.2455859
61.328	OK to blink	5.6581532	9.2455859
61.594	OK to blink	5.6581532	9.2455859
