time lined up 	block	rmse	false positive	false negative
0.471	dont	0.011145	0	0
0.505	dont	0.011145	0	0
0.538	dont	0.011145	0	0
0.571	dont	0.011252	0	0
0.605	dont	0.011409	0	0
0.638	dont	0.011021	0	0
0.671	dont	0.010541	0	0
0.705	dont	0.010720	0	0
0.738	dont	0.010766	0	0
0.771	dont	0.010694	0	0
0.805	dont	0.010810	0	0
0.838	dont	0.010843	0	0
0.872	dont	0.010609	0	0
0.905	dont	0.010865	0	0
0.938	dont	0.010612	0	0
0.972	dont	0.010526	0	0
1.005	dont	0.010588	0	0
1.038	dont	0.010574	0	0
1.072	dont	0.010265	0	0
1.105	dont	0.010692	0	0
1.138	dont	0.010863	0	0
1.172	dont	0.010660	0	0
1.205	dont	0.010471	0	0
1.239	dont	0.010734	0	0
1.272	dont	0.010634	0	0
1.305	dont	0.010570	0	0
1.339	dont	0.010576	0	0
1.372	dont	0.010434	0	0
1.405	dont	0.010255	0	0
1.439	dont	0.009808	0	0
1.472	dont	0.009621	0	0
1.506	dont	0.009560	0	0
1.539	dont	0.009675	0	0
1.572	dont	0.009827	0	0
1.606	dont	0.010251	0	0
1.639	dont	0.010821	0	0
1.672	dont	0.010930	0	0
1.706	dont	0.011268	0	0
1.739	dont	0.010881	0	0
1.772	dont	0.010734	0	0
1.806	dont	0.009945	0	0
1.839	dont	0.009347	0	0
1.873	dont	0.008956	0	0
1.906	dont	0.008959	0	0
1.939	dont	0.008902	0	0
1.973	dont	0.008876	0	0
2.006	dont	0.009461	0	0
2.039	dont	0.010203	0	0
2.073	dont	0.010445	0	0
2.106	dont	0.010741	0	0
2.139	dont	0.011115	0	0
2.173	dont	0.011274	0	0
2.206	dont	0.010973	0	0
2.240	dont	0.011507	0	0
2.273	dont	0.012035	0	0
2.306	dont	0.012140	0	0
2.340	dont	0.012128	0	0
2.373	dont	0.011872	0	0
2.406	dont	0.011454	0	0
2.440	dont	0.010676	0	0
2.473	dont	0.010767	0	0
2.507	dont	0.010961	0	0
2.540	dont	0.011044	0	0
2.573	dont	0.011165	0	0
2.607	dont	0.011173	0	0
2.640	dont	0.010735	0	0
2.673	dont	0.010213	0	0
2.707	dont	0.009614	0	0
2.740	dont	0.009582	0	0
2.773	dont	0.009417	0	0
2.807	dont	0.009480	0	0
2.840	dont	0.009780	0	0
2.874	dont	0.010348	0	0
2.907	dont	0.010050	0	0
2.940	dont	0.010018	0	0
2.974	dont	0.010040	0	0
3.007	dont	0.009435	0	0
3.040	dont	0.008803	0	0
3.074	dont	0.008756	0	0
3.107	dont	0.009431	0	0
3.140	dont	0.009269	0	0
3.174	dont	0.009207	0	0
3.207	dont	0.009333	0	0
3.241	dont	0.008932	0	0
3.274	dont	0.008351	0	0
3.307	dont	0.008843	0	0
3.341	dont	0.009495	0	0
3.374	dont	0.010039	0	0
3.407	dont	0.010767	0	0
3.441	dont	0.011053	0	0
3.474	dont	0.010512	0	0
3.508	dont	0.010452	0	0
3.541	dont	0.010165	0	0
3.574	dont	0.010287	0	0
3.608	dont	0.009938	0	0
3.641	dont	0.009788	0	0
3.674	dont	0.009392	0	0
3.708	dont	0.009601	0	0
3.741	dont	0.008909	0	0
3.774	dont	0.012352	0	0
3.808	dont	0.022826	0	0
3.841	dont	0.032524	0	0
3.875	dont	0.038962	0	0
3.908	dont	0.045625	0	0
3.941	dont	0.046677	0	0
3.975	dont	0.038605	0	0
4.008	dont	0.029484	0	0
4.041	dont	0.022594	0	0
4.075	dont	0.016362	0	0
4.108	dont	0.012258	0	0
4.141	dont	0.010087	0	0
4.175	dont	0.009659	0	0
4.208	dont	0.009792	0	0
4.242	dont	0.009942	0	0
4.275	dont	0.009972	0	0
4.308	dont	0.010365	0	0
4.342	dont	0.010509	0	0
4.375	dont	0.011079	0	0
4.408	dont	0.010964	0	0
4.442	dont	0.010447	0	0
4.475	dont	0.010033	0	0
4.509	dont	0.009983	0	0
4.542	dont	0.009592	0	0
4.575	dont	0.009696	0	0
4.609	dont	0.009703	0	0
4.642	dont	0.009554	0	0
4.675	dont	0.009497	0	0
4.709	dont	0.009694	0	0
4.742	dont	0.009363	0	0
4.775	dont	0.009595	0	0
4.809	dont	0.010003	0	0
4.842	dont	0.009859	0	0
4.876	dont	0.009438	0	0
4.909	dont	0.009375	0	0
4.942	dont	0.009553	0	0
4.976	dont	0.009553	0	0
5.009	dont	0.009884	0	0
5.042	dont	0.009920	0	0
5.076	dont	0.009725	0	0
5.109	dont	0.009438	0	0
5.142	dont	0.009375	0	0
5.176	dont	0.009379	0	0
5.209	dont	0.009485	0	0
5.243	dont	0.009589	0	0
5.276	dont	0.009467	0	0
5.309	dont	0.011021	0	0
5.343	dont	0.013183	0	0
5.376	dont	0.014545	0	0
5.409	dont	0.015193	0	0
5.443	dont	0.015579	0	0
5.476	dont	0.013612	0	0
5.510	dont	0.011312	0	0
5.543	dont	0.009885	0	0
5.576	dont	0.009045	0	0
5.610	dont	0.008961	0	0
5.643	dont	0.009545	0	0
5.676	dont	0.009647	0	0
5.710	dont	0.009564	0	0
5.743	dont	0.009837	0	0
5.776	dont	0.009684	0	0
5.810	dont	0.009470	0	0
5.843	dont	0.009751	0	0
5.877	dont	0.009707	0	0
5.910	dont	0.009826	0	0
